Taxpayer_ID,Age,Gender,Region,Marital_Status,Number_of_Dependants,Annual_Gross_Income (KES),Total_Tax_Paid (KES),Source_of_Income_Raw,Business_Sector,Tax_Compliance_Score,Compliance_Window_Deviation,Effective_Tax_Rate
A786579303X,69.0,Male,Kisumu,Single,5,337989.96690952696,10654.836531752127,Rental,Service (Consultancy),1,2,3.1524120757715304
A219540831X,32.0,Male,Kisumu,Single,7,122625.72917760359,7731.336589195335,Employment (PAYE),Manufacturing,2,2,6.304824151543059
A126855092X,78.0,Male,Nairobi,Married,2,1671357.3261639008,351253.8011952198,Employment (PAYE),Tech/IT,4,17,21.016080505143535
A896233790X,38.0,Male,Rural_SemiArid,Married,5,97290.17098509918,6133.974197346071,Business (Sole Proprietor),Manufacturing,2,4,6.304824151543061
A395310485X,41.0,Female,Rural_Uplands,Married,6,158290.8283163952,9979.958373369645,Employment (PAYE),Tech/IT,2,1,6.304824151543061
A362950628X,20.0,Female,Nairobi,Married,4,1108516.9027665814,174725.1035239113,Employment (PAYE),Agriculture/Farming,3,5,15.762060378857647
A339670711X,,Female,Nairobi,Married,3,57408.17600988168,9048.711365078423,Business (Sole Proprietor),Service (Consultancy),5,3,15.762060378857651
A249827706X,70.0,Male,Nairobi,Married,1,297486.7856938012,37512.03742414384,Employment (PAYE),Finance,4,6,12.609648303086118
A890779946X,19.0,Male,Nairobi,Divorced/Widowed,0,17434.36407625524,549.6029984738437,Dividends/Interest,Unknown,1,2,3.1524120757715304
A210053353X,47.0,Male,Kisumu,Single,2,52475.402346654846,6616.9636815425765,Employment (PAYE),Service (Consultancy),4,1,12.609648303086118
A826600539X,55.0,Female,Kiambu,Single,7,476011.3197109753,15005.838324608208,Informal_Sector,Agriculture/Farming,1,1,3.1524120757715295
A895285932X,19.0,Female,Machakos,Married,7,60715.465819879355,1914.0016763668125,Dividends/Interest,Retail/Wholesale,1,9,3.1524120757715295
A685582861X,81.0,Male,Kisumu,Married,5,118555.98820310687,18686.86644332506,Employment (PAYE),Retail/Wholesale,5,5,15.762060378857651
A193349856X,77.0,Male,Nakuru,Single,7,562209.369488141,59077.186849543796,Business (Sole Proprietor),Unknown,2,4,10.508040252571767
A734036506X,38.0,Male,Nakuru,Single,3,112557.64712565625,3548.280860193494,Business (Sole Proprietor),Retail/Wholesale,1,5,3.1524120757715295
